state,date,year,month,index
Andaman & Nicobar Islands,2011-01-01,2011,January,93.5
Andaman & Nicobar Islands,2011-02-01,2011,February,92.7
Andaman & Nicobar Islands,2011-03-01,2011,March,93.0
Andaman & Nicobar Islands,2011-04-01,2011,April,93.3
Andaman & Nicobar Islands,2011-05-01,2011,May,94.1
Andaman & Nicobar Islands,2011-06-01,2011,June,95.1
Andaman & Nicobar Islands,2011-07-01,2011,July,96.2
Andaman & Nicobar Islands,2011-08-01,2011,August,96.9
Andaman & Nicobar Islands,2011-09-01,2011,September,96.9
Andaman & Nicobar Islands,2011-10-01,2011,October,98.4
Andaman & Nicobar Islands,2011-11-01,2011,November,100.8
Andaman & Nicobar Islands,2011-12-01,2011,December,96.7
Andaman & Nicobar Islands,2012-01-01,2012,January,97.9
Andaman & Nicobar Islands,2012-02-01,2012,February,97.1
Andaman & Nicobar Islands,2012-03-01,2012,March,97.1
Andaman & Nicobar Islands,2012-04-01,2012,April,97.8
Andaman & Nicobar Islands,2012-05-01,2012,May,98.8
Andaman & Nicobar Islands,2012-06-01,2012,June,100.7
Andaman & Nicobar Islands,2012-07-01,2012,July,99.9
Andaman & Nicobar Islands,2012-08-01,2012,August,99.8
Andaman & Nicobar Islands,2012-09-01,2012,September,101.5
Andaman & Nicobar Islands,2012-10-01,2012,October,102.9
Andaman & Nicobar Islands,2012-11-01,2012,November,103.8
Andaman & Nicobar Islands,2012-12-01,2012,December,104.7
Andaman & Nicobar Islands,2013-01-01,2013,January,103.5
Andaman & Nicobar Islands,2013-02-01,2013,February,103.3
Andaman & Nicobar Islands,2013-03-01,2013,March,103.3
Andaman & Nicobar Islands,2013-04-01,2013,April,103.1
Andaman & Nicobar Islands,2013-05-01,2013,May,105.4
Andaman & Nicobar Islands,2013-06-01,2013,June,107.8
Andaman & Nicobar Islands,2013-07-01,2013,July,108.0
Andaman & Nicobar Islands,2013-08-01,2013,August,108.7
Andaman & Nicobar Islands,2013-09-01,2013,September,108.2
Andaman & Nicobar Islands,2013-10-01,2013,October,109.6
Andaman & Nicobar Islands,2013-11-01,2013,November,110.6
Andaman & Nicobar Islands,2013-12-01,2013,December,111.0
Andaman & Nicobar Islands,2014-01-01,2014,January,110.0
Andaman & Nicobar Islands,2014-02-01,2014,February,109.2
Andaman & Nicobar Islands,2014-03-01,2014,March,109.9
Andaman & Nicobar Islands,2014-04-01,2014,April,111.4
Andaman & Nicobar Islands,2014-05-01,2014,May,112.7
Andaman & Nicobar Islands,2014-06-01,2014,June,113.3
Andaman & Nicobar Islands,2014-07-01,2014,July,113.7
Andaman & Nicobar Islands,2014-08-01,2014,August,115.0
Andaman & Nicobar Islands,2014-09-01,2014,September,116.0
Andaman & Nicobar Islands,2014-10-01,2014,October,116.7
Andaman & Nicobar Islands,2014-11-01,2014,November,118.4
Andaman & Nicobar Islands,2014-12-01,2014,December,118.2
Andaman & Nicobar Islands,2015-01-01,2015,January,117.4
Andaman & Nicobar Islands,2015-02-01,2015,February,116.8
Andaman & Nicobar Islands,2015-03-01,2015,March,117.7
Andaman & Nicobar Islands,2015-04-01,2015,April,117.8
Andaman & Nicobar Islands,2015-05-01,2015,May,117.3
Andaman & Nicobar Islands,2015-06-01,2015,June,118.4
Andaman & Nicobar Islands,2015-07-01,2015,July,120.3
Andaman & Nicobar Islands,2015-08-01,2015,August,122.1
Andaman & Nicobar Islands,2015-09-01,2015,September,123.0
Andaman & Nicobar Islands,2015-10-01,2015,October,126.3
Andaman & Nicobar Islands,2015-11-01,2015,November,126.8
Andaman & Nicobar Islands,2015-12-01,2015,December,126.3
Andaman & Nicobar Islands,2016-01-01,2016,January,125.1
Andaman & Nicobar Islands,2016-02-01,2016,February,126.1
Andaman & Nicobar Islands,2016-03-01,2016,March,126.1
Andaman & Nicobar Islands,2016-04-01,2016,April,127.3
Andaman & Nicobar Islands,2016-05-01,2016,May,128.5
Andaman & Nicobar Islands,2016-06-01,2016,June,130.0
Andaman & Nicobar Islands,2016-07-01,2016,July,129.9
Andaman & Nicobar Islands,2016-08-01,2016,August,129.9
Andaman & Nicobar Islands,2016-09-01,2016,September,129.4
Andaman & Nicobar Islands,2016-10-01,2016,October,130.8
Andaman & Nicobar Islands,2016-11-01,2016,November,131.2
Andaman & Nicobar Islands,2016-12-01,2016,December,132.5
Andaman & Nicobar Islands,2017-01-01,2017,January,133.3
Andaman & Nicobar Islands,2017-02-01,2017,February,133.2
Andaman & Nicobar Islands,2017-03-01,2017,March,131.3
Andaman & Nicobar Islands,2017-04-01,2017,April,130.6
Andaman & Nicobar Islands,2017-05-01,2017,May,131.3
Andaman & Nicobar Islands,2017-06-01,2017,June,131.8
Andaman & Nicobar Islands,2017-07-01,2017,July,133.3
Andaman & Nicobar Islands,2017-08-01,2017,August,134.3
Andaman & Nicobar Islands,2017-09-01,2017,September,134.7
Andaman & Nicobar Islands,2017-10-01,2017,October,136.1
Andaman & Nicobar Islands,2017-11-01,2017,November,138.8
Andaman & Nicobar Islands,2017-12-01,2017,December,138.5
Andaman & Nicobar Islands,2018-01-01,2018,January,138.8
Andaman & Nicobar Islands,2018-02-01,2018,February,138.5
Andaman & Nicobar Islands,2018-03-01,2018,March,137.8
Andaman & Nicobar Islands,2018-04-01,2018,April,139.5
Andaman & Nicobar Islands,2018-05-01,2018,May,139.8
Andaman & Nicobar Islands,2018-06-01,2018,June,140.5
Andaman & Nicobar Islands,2018-07-01,2018,July,141.7
Andaman & Nicobar Islands,2018-08-01,2018,August,140.4
Andaman & Nicobar Islands,2018-09-01,2018,September,140.5
Andaman & Nicobar Islands,2018-10-01,2018,October,144.9
Andaman & Nicobar Islands,2018-11-01,2018,November,151.1
Andaman & Nicobar Islands,2018-12-01,2018,December,149.6
Andaman & Nicobar Islands,2019-01-01,2019,January,149.5
Andaman & Nicobar Islands,2019-02-01,2019,February,149.4
Andaman & Nicobar Islands,2019-03-01,2019,March,149.7
Andaman & Nicobar Islands,2019-04-01,2019,April,148.7
Andaman & Nicobar Islands,2019-05-01,2019,May,149.0
Andaman & Nicobar Islands,2019-06-01,2019,June,150.3
Andaman & Nicobar Islands,2019-07-01,2019,July,151.4
Andaman & Nicobar Islands,2019-08-01,2019,August,152.1
Andaman & Nicobar Islands,2019-09-01,2019,September,154.0
Andaman & Nicobar Islands,2019-10-01,2019,October,156.0
Andaman & Nicobar Islands,2019-11-01,2019,November,158.2
Andaman & Nicobar Islands,2019-12-01,2019,December,157.8
Andaman & Nicobar Islands,2020-01-01,2020,January,157.5
Andaman & Nicobar Islands,2020-02-01,2020,February,157.1
Andaman & Nicobar Islands,2020-03-01,2020,March,158.2
Andaman & Nicobar Islands,2020-06-01,2020,June,158.7
Andaman & Nicobar Islands,2020-07-01,2020,July,159.4
Andaman & Nicobar Islands,2020-08-01,2020,August,164.7
Andaman & Nicobar Islands,2020-09-01,2020,September,163.3
Andaman & Nicobar Islands,2020-10-01,2020,October,166.9
Andaman & Nicobar Islands,2020-11-01,2020,November,167.6
Andaman & Nicobar Islands,2020-12-01,2020,December,167.3
Andaman & Nicobar Islands,2021-01-01,2021,January,164.3
Andaman & Nicobar Islands,2021-02-01,2021,February,163.4
Andaman & Nicobar Islands,2021-03-01,2021,March,164.2
Andaman & Nicobar Islands,2021-04-01,2021,April,164.9
Andaman & Nicobar Islands,2021-05-01,2021,May,167.0
Andaman & Nicobar Islands,2021-06-01,2021,June,169.3
Andaman & Nicobar Islands,2021-07-01,2021,July,169.6
Andaman & Nicobar Islands,2021-08-01,2021,August,171.2
Andaman & Nicobar Islands,2021-09-01,2021,September,173.1
Andaman & Nicobar Islands,2021-10-01,2021,October,174.1
Andaman & Nicobar Islands,2021-11-01,2021,November,176.7
Andaman & Nicobar Islands,2021-12-01,2021,December,178.8
Andaman & Nicobar Islands,2022-01-01,2022,January,176.4
Andaman & Nicobar Islands,2022-02-01,2022,February,174.0
Andaman & Nicobar Islands,2022-03-01,2022,March,174.5
Andaman & Nicobar Islands,2022-04-01,2022,April,178.8
Andaman & Nicobar Islands,2022-05-01,2022,May,181.7
Andaman & Nicobar Islands,2022-06-01,2022,June,181.2
Andaman & Nicobar Islands,2022-07-01,2022,July,179.3
Andaman & Nicobar Islands,2022-08-01,2022,August,177.6
Andaman & Nicobar Islands,2022-09-01,2022,September,179.4
Andaman & Nicobar Islands,2022-10-01,2022,October,184.9
Andaman & Nicobar Islands,2022-11-01,2022,November,187.0
Andaman & Nicobar Islands,2022-12-01,2022,December,187.0
Andaman & Nicobar Islands,2023-01-01,2023,January,186.1
Andaman & Nicobar Islands,2023-02-01,2023,February,186.3
Andaman & Nicobar Islands,2023-03-01,2023,March,186.5
Andaman & Nicobar Islands,2023-04-01,2023,April,185.8
Andaman & Nicobar Islands,2023-05-01,2023,May,190.9
Andaman & Nicobar Islands,2023-06-01,2023,June,189.2
Andaman & Nicobar Islands,2023-07-01,2023,July,190.2
Andaman & Nicobar Islands,2023-08-01,2023,August,188.1
Andaman & Nicobar Islands,2023-09-01,2023,September,185.5
Andaman & Nicobar Islands,2023-10-01,2023,October,189.4
Andaman & Nicobar Islands,2023-11-01,2023,November,192.8
Andaman & Nicobar Islands,2023-12-01,2023,December,192.6
Andaman & Nicobar Islands,2024-01-01,2024,January,189.6
Andaman & Nicobar Islands,2024-02-01,2024,February,189.8
Andaman & Nicobar Islands,2024-03-01,2024,March,187.5
Andaman & Nicobar Islands,2024-04-01,2024,April,188.4
Andaman & Nicobar Islands,2024-05-01,2024,May,192.1
Andaman & Nicobar Islands,2024-06-01,2024,June,194.6
Andaman & Nicobar Islands,2024-07-01,2024,July,197.4
Andaman & Nicobar Islands,2024-08-01,2024,August,193.4
Andaman & Nicobar Islands,2024-09-01,2024,September,192.9
Andaman & Nicobar Islands,2024-10-01,2024,October,194.0
Andaman & Nicobar Islands,2024-11-01,2024,November,196.5
Andaman & Nicobar Islands,2024-12-01,2024,December,198.9
Andaman & Nicobar Islands,2025-01-01,2025,January,197.4
Andaman & Nicobar Islands,2025-02-01,2025,February,194.0
Andaman & Nicobar Islands,2025-03-01,2025,March,193.7
Andaman & Nicobar Islands,2025-04-01,2025,April,194.8
Andaman & Nicobar Islands,2025-05-01,2025,May,195.7
Andaman & Nicobar Islands,2025-06-01,2025,June,197.9
Andaman & Nicobar Islands,2025-07-01,2025,July,197.4
Andaman & Nicobar Islands,2025-08-01,2025,August,198.6
Andaman & Nicobar Islands,2025-09-01,2025,September,198.9
Andaman & Nicobar Islands,2025-10-01,2025,October,201.0
Andaman & Nicobar Islands,2025-11-01,2025,November,201.1
Andaman & Nicobar Islands,2025-12-01,2025,December,200.3
Andhra Pradesh,2011-01-01,2011,January,90.6
Andhra Pradesh,2011-02-01,2011,February,88.4
Andhra Pradesh,2011-03-01,2011,March,88.1
Andhra Pradesh,2011-04-01,2011,April,88.4
Andhra Pradesh,2011-05-01,2011,May,89.4
Andhra Pradesh,2011-06-01,2011,June,90.7
Andhra Pradesh,2011-07-01,2011,July,92.8
Andhra Pradesh,2011-08-01,2011,August,92.9
Andhra Pradesh,2011-09-01,2011,September,94.0
Andhra Pradesh,2011-10-01,2011,October,95.1
Andhra Pradesh,2011-11-01,2011,November,95.6
Andhra Pradesh,2011-12-01,2011,December,95.2
Andhra Pradesh,2012-01-01,2012,January,95.3
Andhra Pradesh,2012-02-01,2012,February,95.8
Andhra Pradesh,2012-03-01,2012,March,96.6
Andhra Pradesh,2012-04-01,2012,April,97.6
Andhra Pradesh,2012-05-01,2012,May,98.1
Andhra Pradesh,2012-06-01,2012,June,100.2
Andhra Pradesh,2012-07-01,2012,July,101.0
Andhra Pradesh,2012-08-01,2012,August,101.7
Andhra Pradesh,2012-09-01,2012,September,102.3
Andhra Pradesh,2012-10-01,2012,October,103.2
Andhra Pradesh,2012-11-01,2012,November,104.2
Andhra Pradesh,2012-12-01,2012,December,105.2
Andhra Pradesh,2013-01-01,2013,January,105.8
Andhra Pradesh,2013-02-01,2013,February,106.4
Andhra Pradesh,2013-03-01,2013,March,106.5
Andhra Pradesh,2013-04-01,2013,April,106.8
Andhra Pradesh,2013-05-01,2013,May,108.7
Andhra Pradesh,2013-06-01,2013,June,111.1
Andhra Pradesh,2013-07-01,2013,July,112.0
Andhra Pradesh,2013-08-01,2013,August,113.6
Andhra Pradesh,2013-09-01,2013,September,114.6
Andhra Pradesh,2013-10-01,2013,October,114.8
Andhra Pradesh,2013-11-01,2013,November,115.7
Andhra Pradesh,2013-12-01,2013,December,114.9
Andhra Pradesh,2014-01-01,2014,January,113.8
Andhra Pradesh,2014-02-01,2014,February,113.9
Andhra Pradesh,2014-03-01,2014,March,114.2
Andhra Pradesh,2014-04-01,2014,April,114.7
Andhra Pradesh,2014-05-01,2014,May,115.9
Andhra Pradesh,2014-06-01,2014,June,117.1
Andhra Pradesh,2014-07-01,2014,July,119.9
Andhra Pradesh,2014-08-01,2014,August,120.4
Andhra Pradesh,2014-09-01,2014,September,119.2
Andhra Pradesh,2014-10-01,2014,October,119.1
Andhra Pradesh,2014-11-01,2014,November,120.0
Andhra Pradesh,2014-12-01,2014,December,119.6
Andhra Pradesh,2015-01-01,2015,January,120.1
Andhra Pradesh,2015-02-01,2015,February,120.8
Andhra Pradesh,2015-03-01,2015,March,121.1
Andhra Pradesh,2015-04-01,2015,April,121.8
Andhra Pradesh,2015-05-01,2015,May,123.1
Andhra Pradesh,2015-06-01,2015,June,125.6
Andhra Pradesh,2015-07-01,2015,July,125.9
Andhra Pradesh,2015-08-01,2015,August,127.1
Andhra Pradesh,2015-09-01,2015,September,127.8
Andhra Pradesh,2015-10-01,2015,October,128.7
Andhra Pradesh,2015-11-01,2015,November,130.6
Andhra Pradesh,2015-12-01,2015,December,130.9
Andhra Pradesh,2016-01-01,2016,January,131.4
Andhra Pradesh,2016-02-01,2016,February,130.5
Andhra Pradesh,2016-03-01,2016,March,130.5
Andhra Pradesh,2016-04-01,2016,April,131.7
Andhra Pradesh,2016-05-01,2016,May,134.2
Andhra Pradesh,2016-06-01,2016,June,135.7
Andhra Pradesh,2016-07-01,2016,July,135.4
Andhra Pradesh,2016-08-01,2016,August,135.1
Andhra Pradesh,2016-09-01,2016,September,134.9
Andhra Pradesh,2016-10-01,2016,October,135.4
Andhra Pradesh,2016-11-01,2016,November,134.7
Andhra Pradesh,2016-12-01,2016,December,134.1
Andhra Pradesh,2017-01-01,2017,January,133.9
Andhra Pradesh,2017-02-01,2017,February,134.6
Andhra Pradesh,2017-03-01,2017,March,134.5
Andhra Pradesh,2017-04-01,2017,April,134.6
Andhra Pradesh,2017-05-01,2017,May,135.4
Andhra Pradesh,2017-06-01,2017,June,136.6
Andhra Pradesh,2017-07-01,2017,July,138.9
Andhra Pradesh,2017-08-01,2017,August,138.8
Andhra Pradesh,2017-09-01,2017,September,138.4
Andhra Pradesh,2017-10-01,2017,October,140.3
Andhra Pradesh,2017-11-01,2017,November,142.9
Andhra Pradesh,2017-12-01,2017,December,142.6
Andhra Pradesh,2018-01-01,2018,January,141.4
Andhra Pradesh,2018-02-01,2018,February,139.7
Andhra Pradesh,2018-03-01,2018,March,139.5
Andhra Pradesh,2018-04-01,2018,April,139.8
Andhra Pradesh,2018-05-01,2018,May,141.1
Andhra Pradesh,2018-06-01,2018,June,141.3
Andhra Pradesh,2018-07-01,2018,July,142.7
Andhra Pradesh,2018-08-01,2018,August,143.0
Andhra Pradesh,2018-09-01,2018,September,140.9
Andhra Pradesh,2018-10-01,2018,October,138.8
Andhra Pradesh,2018-11-01,2018,November,139.7
Andhra Pradesh,2018-12-01,2018,December,139.7
Andhra Pradesh,2019-01-01,2019,January,139.7
Andhra Pradesh,2019-02-01,2019,February,140.2
Andhra Pradesh,2019-03-01,2019,March,140.3
Andhra Pradesh,2019-04-01,2019,April,141.0
Andhra Pradesh,2019-05-01,2019,May,142.1
Andhra Pradesh,2019-06-01,2019,June,143.9
Andhra Pradesh,2019-07-01,2019,July,144.2
Andhra Pradesh,2019-08-01,2019,August,143.9
Andhra Pradesh,2019-09-01,2019,September,144.4
Andhra Pradesh,2019-10-01,2019,October,145.6
Andhra Pradesh,2019-11-01,2019,November,147.5
Andhra Pradesh,2019-12-01,2019,December,150.1
Andhra Pradesh,2020-01-01,2020,January,148.9
Andhra Pradesh,2020-02-01,2020,February,147.8
Andhra Pradesh,2020-03-01,2020,March,147.6
Andhra Pradesh,2020-06-01,2020,June,155.4
Andhra Pradesh,2020-07-01,2020,July,154.9
Andhra Pradesh,2020-08-01,2020,August,155.1
Andhra Pradesh,2020-09-01,2020,September,157.3
Andhra Pradesh,2020-10-01,2020,October,160.2
Andhra Pradesh,2020-11-01,2020,November,161.0
Andhra Pradesh,2020-12-01,2020,December,160.8
Andhra Pradesh,2021-01-01,2021,January,160.2
Andhra Pradesh,2021-02-01,2021,February,160.7
Andhra Pradesh,2021-03-01,2021,March,160.8
Andhra Pradesh,2021-04-01,2021,April,161.7
Andhra Pradesh,2021-05-01,2021,May,163.8
Andhra Pradesh,2021-06-01,2021,June,164.5
Andhra Pradesh,2021-07-01,2021,July,165.3
Andhra Pradesh,2021-08-01,2021,August,166.2
Andhra Pradesh,2021-09-01,2021,September,166.2
Andhra Pradesh,2021-10-01,2021,October,167.8
Andhra Pradesh,2021-11-01,2021,November,169.6
Andhra Pradesh,2021-12-01,2021,December,170.1
Andhra Pradesh,2022-01-01,2022,January,168.4
Andhra Pradesh,2022-02-01,2022,February,168.6
Andhra Pradesh,2022-03-01,2022,March,170.9
Andhra Pradesh,2022-04-01,2022,April,173.6
Andhra Pradesh,2022-05-01,2022,May,177.8
Andhra Pradesh,2022-06-01,2022,June,178.7
Andhra Pradesh,2022-07-01,2022,July,177.5
Andhra Pradesh,2022-08-01,2022,August,177.3
Andhra Pradesh,2022-09-01,2022,September,179.6
Andhra Pradesh,2022-10-01,2022,October,181.1
Andhra Pradesh,2022-11-01,2022,November,181.3
Andhra Pradesh,2022-12-01,2022,December,181.2
Andhra Pradesh,2023-01-01,2023,January,182.3
Andhra Pradesh,2023-02-01,2023,February,182.1
Andhra Pradesh,2023-03-01,2023,March,182.1
Andhra Pradesh,2023-04-01,2023,April,182.6
Andhra Pradesh,2023-05-01,2023,May,184.0
Andhra Pradesh,2023-06-01,2023,June,187.5
Andhra Pradesh,2023-07-01,2023,July,191.9
Andhra Pradesh,2023-08-01,2023,August,191.1
Andhra Pradesh,2023-09-01,2023,September,189.3
Andhra Pradesh,2023-10-01,2023,October,189.7
Andhra Pradesh,2023-11-01,2023,November,191.1
Andhra Pradesh,2023-12-01,2023,December,191.2
Andhra Pradesh,2024-01-01,2024,January,191.4
Andhra Pradesh,2024-02-01,2024,February,192.4
Andhra Pradesh,2024-03-01,2024,March,191.7
Andhra Pradesh,2024-04-01,2024,April,192.8
Andhra Pradesh,2024-05-01,2024,May,194.9
Andhra Pradesh,2024-06-01,2024,June,198.4
Andhra Pradesh,2024-07-01,2024,July,198.4
Andhra Pradesh,2024-08-01,2024,August,196.8
Andhra Pradesh,2024-09-01,2024,September,198.3
Andhra Pradesh,2024-10-01,2024,October,201.3
Andhra Pradesh,2024-11-01,2024,November,200.7
Andhra Pradesh,2024-12-01,2024,December,199.5
Andhra Pradesh,2025-01-01,2025,January,199.2
Andhra Pradesh,2025-02-01,2025,February,197.1
Andhra Pradesh,2025-03-01,2025,March,196.5
Andhra Pradesh,2025-04-01,2025,April,197.9
Andhra Pradesh,2025-05-01,2025,May,198.2
Andhra Pradesh,2025-06-01,2025,June,198.5
Andhra Pradesh,2025-07-01,2025,July,199.4
Andhra Pradesh,2025-08-01,2025,August,200.6
Andhra Pradesh,2025-09-01,2025,September,200.9
Andhra Pradesh,2025-10-01,2025,October,201.8
Andhra Pradesh,2025-11-01,2025,November,203.6
Andhra Pradesh,2025-12-01,2025,December,204.9
Arunachal Pradesh,2011-01-01,2011,January,
Arunachal Pradesh,2011-02-01,2011,February,
Arunachal Pradesh,2011-03-01,2011,March,
Arunachal Pradesh,2011-04-01,2011,April,
Arunachal Pradesh,2011-05-01,2011,May,
Arunachal Pradesh,2011-06-01,2011,June,
Arunachal Pradesh,2011-07-01,2011,July,
Arunachal Pradesh,2011-08-01,2011,August,
Arunachal Pradesh,2011-09-01,2011,September,
Arunachal Pradesh,2011-10-01,2011,October,
Arunachal Pradesh,2011-11-01,2011,November,
Arunachal Pradesh,2011-12-01,2011,December,
Arunachal Pradesh,2012-01-01,2012,January,
Arunachal Pradesh,2012-02-01,2012,February,
Arunachal Pradesh,2012-03-01,2012,March,
Arunachal Pradesh,2012-04-01,2012,April,
Arunachal Pradesh,2012-05-01,2012,May,
Arunachal Pradesh,2012-06-01,2012,June,
Arunachal Pradesh,2012-07-01,2012,July,
Arunachal Pradesh,2012-08-01,2012,August,
Arunachal Pradesh,2012-09-01,2012,September,
Arunachal Pradesh,2012-10-01,2012,October,
Arunachal Pradesh,2012-11-01,2012,November,
Arunachal Pradesh,2012-12-01,2012,December,
Arunachal Pradesh,2013-01-01,2013,January,
Arunachal Pradesh,2013-02-01,2013,February,
Arunachal Pradesh,2013-03-01,2013,March,
Arunachal Pradesh,2013-04-01,2013,April,
Arunachal Pradesh,2013-05-01,2013,May,
Arunachal Pradesh,2013-06-01,2013,June,
Arunachal Pradesh,2013-07-01,2013,July,
Arunachal Pradesh,2013-08-01,2013,August,
Arunachal Pradesh,2013-09-01,2013,September,
Arunachal Pradesh,2013-10-01,2013,October,
Arunachal Pradesh,2013-11-01,2013,November,
Arunachal Pradesh,2013-12-01,2013,December,
Arunachal Pradesh,2014-01-01,2014,January,
Arunachal Pradesh,2014-02-01,2014,February,
Arunachal Pradesh,2014-03-01,2014,March,
Arunachal Pradesh,2014-04-01,2014,April,
Arunachal Pradesh,2014-05-01,2014,May,
Arunachal Pradesh,2014-06-01,2014,June,
Arunachal Pradesh,2014-07-01,2014,July,
Arunachal Pradesh,2014-08-01,2014,August,
Arunachal Pradesh,2014-09-01,2014,September,
Arunachal Pradesh,2014-10-01,2014,October,
Arunachal Pradesh,2014-11-01,2014,November,
Arunachal Pradesh,2014-12-01,2014,December,
Arunachal Pradesh,2015-01-01,2015,January,
Arunachal Pradesh,2015-02-01,2015,February,
Arunachal Pradesh,2015-03-01,2015,March,
Arunachal Pradesh,2015-04-01,2015,April,
Arunachal Pradesh,2015-05-01,2015,May,
Arunachal Pradesh,2015-06-01,2015,June,
Arunachal Pradesh,2015-07-01,2015,July,
Arunachal Pradesh,2015-08-01,2015,August,
Arunachal Pradesh,2015-09-01,2015,September,
Arunachal Pradesh,2015-10-01,2015,October,
Arunachal Pradesh,2015-11-01,2015,November,
Arunachal Pradesh,2015-12-01,2015,December,
Arunachal Pradesh,2016-01-01,2016,January,
Arunachal Pradesh,2016-02-01,2016,February,
Arunachal Pradesh,2016-03-01,2016,March,
Arunachal Pradesh,2016-04-01,2016,April,
Arunachal Pradesh,2016-05-01,2016,May,
Arunachal Pradesh,2016-06-01,2016,June,
Arunachal Pradesh,2016-07-01,2016,July,
Arunachal Pradesh,2016-08-01,2016,August,
Arunachal Pradesh,2016-09-01,2016,September,
Arunachal Pradesh,2016-10-01,2016,October,
Arunachal Pradesh,2016-11-01,2016,November,
Arunachal Pradesh,2016-12-01,2016,December,
Arunachal Pradesh,2017-01-01,2017,January,
Arunachal Pradesh,2017-02-01,2017,February,
Arunachal Pradesh,2017-03-01,2017,March,
Arunachal Pradesh,2017-04-01,2017,April,
Arunachal Pradesh,2017-05-01,2017,May,
Arunachal Pradesh,2017-06-01,2017,June,
Arunachal Pradesh,2017-07-01,2017,July,
Arunachal Pradesh,2017-08-01,2017,August,
Arunachal Pradesh,2017-09-01,2017,September,
Arunachal Pradesh,2017-10-01,2017,October,
Arunachal Pradesh,2017-11-01,2017,November,
Arunachal Pradesh,2017-12-01,2017,December,
Arunachal Pradesh,2018-01-01,2018,January,
Arunachal Pradesh,2018-02-01,2018,February,
Arunachal Pradesh,2018-03-01,2018,March,147.9
Arunachal Pradesh,2018-04-01,2018,April,149.8
Arunachal Pradesh,2018-05-01,2018,May,150.5
Arunachal Pradesh,2018-06-01,2018,June,152.1
Arunachal Pradesh,2018-07-01,2018,July,154.9
Arunachal Pradesh,2018-08-01,2018,August,156.8
Arunachal Pradesh,2018-09-01,2018,September,160.8
Arunachal Pradesh,2018-10-01,2018,October,161.3
Arunachal Pradesh,2018-11-01,2018,November,
Arunachal Pradesh,2018-12-01,2018,December,
Arunachal Pradesh,2019-01-01,2019,January,
Arunachal Pradesh,2019-02-01,2019,February,
Arunachal Pradesh,2019-03-01,2019,March,
Arunachal Pradesh,2019-04-01,2019,April,
Arunachal Pradesh,2019-05-01,2019,May,
Arunachal Pradesh,2019-06-01,2019,June,
Arunachal Pradesh,2019-07-01,2019,July,
Arunachal Pradesh,2019-08-01,2019,August,
Arunachal Pradesh,2019-09-01,2019,September,
Arunachal Pradesh,2019-10-01,2019,October,
Arunachal Pradesh,2019-11-01,2019,November,
Arunachal Pradesh,2019-12-01,2019,December,
Arunachal Pradesh,2020-01-01,2020,January,
Arunachal Pradesh,2020-02-01,2020,February,
Arunachal Pradesh,2020-03-01,2020,March,157.9
Arunachal Pradesh,2020-06-01,2020,June,158.8
Arunachal Pradesh,2020-07-01,2020,July,
Arunachal Pradesh,2020-08-01,2020,August,
Arunachal Pradesh,2020-09-01,2020,September,
Arunachal Pradesh,2020-10-01,2020,October,
Arunachal Pradesh,2020-11-01,2020,November,
Arunachal Pradesh,2020-12-01,2020,December,
Arunachal Pradesh,2021-01-01,2021,January,
Arunachal Pradesh,2021-02-01,2021,February,
Arunachal Pradesh,2021-03-01,2021,March,
Arunachal Pradesh,2021-04-01,2021,April,
Arunachal Pradesh,2021-05-01,2021,May,
Arunachal Pradesh,2021-06-01,2021,June,
Arunachal Pradesh,2021-07-01,2021,July,
Arunachal Pradesh,2021-08-01,2021,August,
Arunachal Pradesh,2021-09-01,2021,September,
Arunachal Pradesh,2021-10-01,2021,October,
Arunachal Pradesh,2021-11-01,2021,November,
Arunachal Pradesh,2021-12-01,2021,December,
Arunachal Pradesh,2022-01-01,2022,January,
Arunachal Pradesh,2022-02-01,2022,February,
Arunachal Pradesh,2022-03-01,2022,March,
Arunachal Pradesh,2022-04-01,2022,April,
Arunachal Pradesh,2022-05-01,2022,May,
Arunachal Pradesh,2022-06-01,2022,June,
Arunachal Pradesh,2022-07-01,2022,July,
Arunachal Pradesh,2022-08-01,2022,August,
Arunachal Pradesh,2022-09-01,2022,September,
Arunachal Pradesh,2022-10-01,2022,October,
Arunachal Pradesh,2022-11-01,2022,November,
Arunachal Pradesh,2022-12-01,2022,December,
Arunachal Pradesh,2023-01-01,2023,January,
Arunachal Pradesh,2023-02-01,2023,February,
Arunachal Pradesh,2023-03-01,2023,March,
Arunachal Pradesh,2023-04-01,2023,April,
Arunachal Pradesh,2023-05-01,2023,May,
Arunachal Pradesh,2023-06-01,2023,June,
Arunachal Pradesh,2023-07-01,2023,July,
Arunachal Pradesh,2023-08-01,2023,August,
Arunachal Pradesh,2023-09-01,2023,September,
Arunachal Pradesh,2023-10-01,2023,October,
Arunachal Pradesh,2023-11-01,2023,November,
Arunachal Pradesh,2023-12-01,2023,December,
Arunachal Pradesh,2024-01-01,2024,January,
Arunachal Pradesh,2024-02-01,2024,February,
Arunachal Pradesh,2024-03-01,2024,March,
Arunachal Pradesh,2024-04-01,2024,April,
Arunachal Pradesh,2024-05-01,2024,May,
Arunachal Pradesh,2024-06-01,2024,June,
Arunachal Pradesh,2024-07-01,2024,July,
Arunachal Pradesh,2024-08-01,2024,August,
Arunachal Pradesh,2024-09-01,2024,September,
Arunachal Pradesh,2024-10-01,2024,October,
Arunachal Pradesh,2024-11-01,2024,November,
Arunachal Pradesh,2024-12-01,2024,December,
